ID,Subject,Day Group,Matching To Sample,Running Memory,Simple Reaction Time
1,C1G0003,20-Jan,2110.65,434.1428571,230.95
2,C1G0003,21-40,2280.8,447.75,205.05
3,C1G0003,41-60,1887.3,443.1,233.4
4,C1G0003,61-80,2181.111111,431.95,256.6
5,C1G0003,81-100,2734.95,445.45,231.2
6,C1G0003,101-120,3718.9,461.45,305.55
7,C1G0003,121-140,4339.15,419.35,228.65
8,C1G0003,141-147,2874.857143,442.4285714,201.8571429
